model,val_accuracy,val_f1,test_accuracy,test_f1
LogisticRegression,0.8,0.8187134502923976,0.8903225806451613,0.903954802259887
GaussianNB,0.7741935483870968,0.7619047619047619,0.7870967741935484,0.7814569536423841
