model,val_mae,val_rmse,test_mae,test_rmse
LinearRegression,9.408573893659788,11.845520836031692,7.7691805595962675,9.813240076458852
DecisionTreeRegressor,6.2868186863870354,8.667216492227887,6.129685161058448,7.856826435157861
