model,val_accuracy,val_f1,test_accuracy,test_f1
LogisticRegression,0.7935483870967742,0.813953488372093,0.8903225806451613,0.9039548022598869
LogisticRegression_L2,0.7935483870967742,0.813953488372093,0.8903225806451613,0.9039548022598869
LogisticRegression_L1,0.8,0.8187134502923977,0.8774193548387097,0.8926553672316383
GaussianNB,0.7419354838709677,0.7333333333333334,0.7806451612903226,0.7848101265822784
