model,val_mae,val_rmse,test_mae,test_rmse
LinearRegression,9.280331367408062,11.881554866961382,7.586145876623856,9.761591760542265
Ridge_alpha0.1,9.325652514325778,11.935228053414699,7.616527245558261,9.780784006145389
Ridge_alpha1.0,9.332308913893355,11.931414529682064,7.610713723799299,9.762935582127879
Ridge_alpha10,9.383244005226093,11.905247827566374,7.6236505929358245,9.710541887654404
Lasso_alpha0.1,9.43146827081226,11.91363564935699,7.613559169968571,9.682695274200253
ElasticNet,10.207508242511718,12.495469154151944,8.695315964865955,10.448143229977935
DecisionTreeRegressor,5.769400334944688,8.052589848161356,4.763385558483723,6.663887508321073
